id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,amax,gs,wue,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass,rgr,agr
5,ec,ambientrain,Legume,fixer,17,42.4265645,23.57598978,33.99744572,1.331,1.661,0.923,3.915,1.262974457,0.424265645,0.00424718,0.268041237,-29.52088396,23.42,0.177,12.682,233.36154,10.4750774,2.012139764,46.95560309,62.49790771,0.008326423,0.205882353
6,ec,ambientrain,Legume,fixer,25,47.62889879,26.14576703,26.22533418,1.648,2.993,1.643,6.284,1.905253342,0.476288988,0.00240549,0.326164875,-29.39493394,23.543,0.257,7.296,132.16978,10.83303905,3.479135942,45.98366328,75.78107709,0.006915137,0.235294118
7,ec,ambientrain,Legume,fixer,14,56.00206968,17.10934805,26.88858227,1.559,3.247,0.992,5.798,1.260885823,0.560020697,0.00532261,0.313176321,-28.95119752,21.427,0.21,8.928,108.18313,10.21548814,4.492271147,48.59879539,75.76552201,0.00972563,0.211764706
8,ec,ambientrain,Legume,fixer,16,48.71661913,21.31190044,29.97148043,1.156,1.879,0.822,3.857,1.121714804,0.487166191,0.00197916,0.240112994,-29.91483595,23.673,0.193,11.492,232.84235,9.234631219,2.275543821,52.98429775,61.2498482,0.007589858,0.170588235
9,ec,ambientrain_water_nutrients,Legume,fixer,20.5,50.92480901,26.75914757,22.31604343,1.11,2.533,1.331,4.974,1.554160434,0.50924809,0.00142568,0.391975309,-30.2786471,19.67,0.257,4.574,112.25827,12.3604737,3.50775092,39.37740419,43.70891865,0.008297277,0.247058824
10,ec,ambientrain_water_nutrients,Legume,fixer,21,58.63168383,18.7910993,22.57721687,3.399,8.827,2.829,15.055,3.054772169,0.586316838,0.00900788,0.282157676,-29.10112818,21.95,0.267,5.023,220.78137,10.67142516,2.111539034,46.61884862,158.4574665,0.011747398,0.423529412
11,ec,ambientrain_water_nutrients,Legume,fixer,24,49.08092356,24.36673392,26.55234252,2.369,4.379,2.174,8.922,2.439523425,0.490809236,0.00505577,0.267130089,-29.0963584,20.013,0.267,4.562,187.94684,9.526016473,2.674411946,50.26472746,119.0771394,0.007653971,0.258823529
12,ec,ambientrain_water_nutrients,Legume,fixer,25.5,52.62385638,25.83290178,21.54324184,2.496,6.097,2.993,11.586,3.208432418,0.526238564,0.00525161,0.293444329,-28.80535816,22.553,0.29,4.924,93.11365,11.92166758,4.378251388,40.76749782,101.7556746,0.00996821,0.4
13,ec,ambientrain_water,Legume,fixer,20,51.5054623,23.35464961,25.13988809,1.887,3.866,1.753,7.506,2.004398881,0.515054623,0.00193416,0.382284382,-29.4460249,20.657,0.34,4.58,117.93659,12.74276335,3.230834653,38.10336068,71.9010416,0.007077412,0.194117647
14,ec,ambientrain_water,Legume,fixer,20,52.39739673,25.92641785,21.67618542,1.632,3.945,1.952,7.529,2.168761854,0.523973967,0.00333823,0.392978482,-31.03808581,25.467,0.47,4.502,96.20259,13.95821941,3.515063488,33.81582244,55.18742222,0.010051945,0.317647059
15,ec,ambientrain_water,Legume,fixer,23,53.92343198,25.67200652,20.4045615,1.503,3.972,1.891,7.366,2.095045615,0.53923432,0.00350512,0.362030905,-30.47394266,23.6,0.457,4.346,106.86341,11.33795242,3.963684626,42.35728737,63.66300292,0.00694352,0.217647059
16,ec,ambientrain_water,Legume,fixer,24.5,59.7216537,19.70255151,20.57579479,1.508,4.377,1.444,7.329,1.649757948,0.597216537,0.00331986,0.390572391,-29.71990504,24.313,0.417,4.655,95.39828,11.697412,4.344307041,41.44394015,62.49746175,0.006617965,0.217647059
17,ec,ambientrain_nutrients,Legume,fixer,24.5,59.53995157,21.63841808,18.82163035,2.332,7.377,2.681,12.39,2.869216303,0.595399516,0.00325307,0.372279496,-28.14545799,18.647,0.247,4.408,100.09446,19.83015715,2.369069328,23.71307187,55.2988836,0.009297776,0.347058824
18,ec,ambientrain_nutrients,Legume,fixer,13.5,48.29527179,17.94789321,33.756835,2.099,3.003,1.116,6.218,1.45356835,0.482952718,0.00310978,0.328467153,-29.42725173,23.04,0.35,4.553,138.21244,10.84428151,3.2133783,44.41288698,93.22264977,0.01292485,0.317647059
19,ec,ambientrain_nutrients,Legume,fixer,17,60.7564461,19.15967692,20.08387698,2.586,7.823,2.467,12.876,2.66783877,0.607564461,0.00478453,0.405299313,-29.02130117,20.405,0.33,5.153,115.84818,12.19041635,3.414332738,39.55442473,102.2877424,0.01326588,0.417647059
25,hc,ambientrain,Legume,nonfixer,29,46.56665324,25.17116391,28.26218284,2.807,4.625,2.5,9.932,2.782621828,0.465666532,0.00285499,0.515734266,-29.08371594,7.26,0.23,1.665,96.77932,49.03270003,1.085321195,10.50366494,29.48378749,0.00348548,0.117647059
26,hc,ambientrain,Legume,nonfixer,26,46.41414141,26.26262626,27.32323232,2.705,4.595,2.6,9.9,2.873232323,0.464141414,0.00241721,0.539714868,-28.03085412,8.203,0.107,3.221,91.21547,45.4948806,1.229030314,11.21065798,30.32482984,0.004464584,0.141176471
27,hc,ambientrain,Legume,nonfixer,32,38.90223852,34.55166308,26.54609839,2.099,3.076,2.732,7.907,2.997460984,0.389022385,0.00248648,0.494023904,-30.82157032,5.457,0.06,3.355,100.26129,39.83933132,1.303671048,13.07077414,27.43555492,0.003612059,0.135294118
28,hc,ambientrain,Legume,nonfixer,19,45.01152074,27.83410138,27.15437788,2.357,3.907,2.416,8.68,2.687543779,0.450115207,0.00313212,0.561020036,-28.00732325,5.557,0.07,2.977,101.69221,34.76935964,1.45786567,14.82535786,34.94336848,0.005175897,0.123529412
29,hc,ambientrain_water_nutrients,Legume,nonfixer,24,45.03781802,23.77950951,31.18267247,2.721,3.93,2.075,8.726,2.386826725,0.45037818,0.0033313,0.554733728,-29.25147951,9.64,0.263,2.206,88.83467,40.07176238,1.42586164,12.66659435,34.46580323,0.003923431,0.111764706
30,hc,ambientrain_water_nutrients,Legume,nonfixer,25,51.89528796,22.53403141,25.57068063,2.442,4.956,2.152,9.55,2.407706806,0.51895288,0.00295571,0.518072289,-29.57024412,8.9,0.297,1.926,98.19635,32.53181403,1.61316505,15.84069126,38.68296806,0.004289919,0.129411765
31,hc,ambientrain_water_nutrients,Legume,nonfixer,38,35.43307087,35.30742168,29.25950746,3.493,4.23,4.215,11.938,4.507595075,0.354330709,0.0036494,0.549100968,-27.05490679,6.713,0.233,1.635,91.92443,33.99517322,1.648192701,15.15091799,52.92215654,0.003690089,0.164705882
32,hc,ambientrain_water_nutrients,Legume,nonfixer,32,48.46019314,26.64436165,24.89544521,3.274,6.373,3.504,13.151,3.752954452,0.484601931,0.00445663,0.528994083,-29.95303635,4.017,0.08,2.883,99.70089,31.22726167,1.670033463,16.65038307,54.51335417,0.00291572,0.105882353
33,hc,ambientrain_water,Legume,nonfixer,32,47.80914571,27.29745626,24.89339803,3.386,6.503,3.713,13.602,3.96193398,0.478091457,0.005127,0.47542735,-30.40483597,6.547,0.337,1.352,115.21348,41.07310704,1.090253986,12.56119592,42.53220939,0.004522491,0.176470588
34,hc,ambientrain_water,Legume,nonfixer,28,41.45136778,32.94072948,25.60790274,2.696,4.364,3.468,10.528,3.724079027,0.414513678,0.00271665,0.469945355,-28.67301783,7.363,0.31,1.6,105.29651,40.42054263,1.196078854,12.5942931,33.9542142,0.003898319,0.129411765
35,hc,ambientrain_water,Legume,nonfixer,26,53.05317324,25.37735849,21.56946827,2.515,6.186,2.959,11.66,3.174694683,0.530531732,0.00334359,0.478510029,-29.2921831,7.927,0.34,1.637,100.10749,31.59838893,1.643978866,16.45745897,41.39050931,0.00550114,0.182352941
