id,sub_sample,spcode,family,treatment,percentage
5,a,ec,Legume,ambientrain,2.63
5,b,ec,Legume,ambientrain,19.75
6,a,ec,Legume,ambientrain,3.08
6,b,ec,Legume,ambientrain,1.85
7,a,ec,Legume,ambientrain,141.86
7,b,ec,Legume,ambientrain,8.47
8,a,ec,Legume,ambientrain,3.9
8,b,ec,Legume,ambientrain,82.14
9,b,ec,Legume,ambientrain_water_nutrients,77.78
9,c,ec,Legume,ambientrain_water_nutrients,25.29
10,a,ec,Legume,ambientrain_water_nutrients,0
10,b,ec,Legume,ambientrain_water_nutrients,12.5
11,a,ec,Legume,ambientrain_water_nutrients,30.67
11,b,ec,Legume,ambientrain_water_nutrients,0
12,b,ec,Legume,ambientrain_water_nutrients,0
12,c,ec,Legume,ambientrain_water_nutrients,0
13,a,ec,Legume,ambientrain_water,118.75
13,c,ec,Legume,ambientrain_water,10.34
14,a,ec,Legume,ambientrain_water,5.06
14,c,ec,Legume,ambientrain_water,8.33
15,a,ec,Legume,ambientrain_water,1.06
15,b,ec,Legume,ambientrain_water,15.29
16,a,ec,Legume,ambientrain_water,28.36
16,b,ec,Legume,ambientrain_water,70.49
17,a,ec,Legume,ambientrain_nutrients,18.75
17,b,ec,Legume,ambientrain_nutrients,14.08
18,a,ec,Legume,ambientrain_nutrients,4.55
18,c,ec,Legume,ambientrain_nutrients,105.13
19,a,ec,Legume,ambientrain_nutrients,10.39
19,b,ec,Legume,ambientrain_nutrients,8.97
20,a,ec,Legume,ambientrain_nutrients,0
20,b,ec,Legume,ambientrain_nutrients,1.96
45,a,sg,nonlegume,ambientrain,5.26
45,b,sg,nonlegume,ambientrain,38.89
46,a,sg,nonlegume,ambientrain,348.98
46,c,sg,nonlegume,ambientrain,28.57
47,a,sg,nonlegume,ambientrain,46.43
47,b,sg,nonlegume,ambientrain,38.1
48,a,sg,nonlegume,ambientrain,16.44
48,b,sg,nonlegume,ambientrain,95
49,a,sg,nonlegume,ambientrain_water_nutrients,51.85
49,b,sg,nonlegume,ambientrain_water_nutrients,4.55
50,a,sg,nonlegume,ambientrain_water_nutrients,12.22
50,b,sg,nonlegume,ambientrain_water_nutrients,13.85
51,a,sg,nonlegume,ambientrain_water_nutrients,203.08
51,b,sg,nonlegume,ambientrain_water_nutrients,0
52,a,sg,nonlegume,ambientrain_water_nutrients,58.46
52,b,sg,nonlegume,ambientrain_water_nutrients,28.24
53,a,sg,nonlegume,ambientrain_water,202.67
53,b,sg,nonlegume,ambientrain_water,0
54,a,sg,nonlegume,ambientrain_water,40
54,b,sg,nonlegume,ambientrain_water,8.11
55,a,sg,nonlegume,ambientrain_water,1.45
55,b,sg,nonlegume,ambientrain_water,12.86
56,b,sg,nonlegume,ambientrain_water,13.24
56,c,sg,nonlegume,ambientrain_water,0
58,a,sg,nonlegume,ambientrain_nutrients,1.52
58,c,sg,nonlegume,ambientrain_nutrients,17.86
59,a,sg,nonlegume,ambientrain_nutrients,32.86
59,b,sg,nonlegume,ambientrain_nutrients,41.33
60,a,sg,nonlegume,ambientrain_nutrients,0
60,b,sg,nonlegume,ambientrain_nutrients,0
65,a,sm,nonlegume,ambientrain,86.3
65,b,sm,nonlegume,ambientrain,422.54
66,a,sm,nonlegume,ambientrain,13.21
66,b,sm,nonlegume,ambientrain,64.41
67,b,sm,nonlegume,ambientrain,14.55
67,c,sm,nonlegume,ambientrain,16.88
68,a,sm,nonlegume,ambientrain,0
68,b,sm,nonlegume,ambientrain,3.03
69,a,sm,nonlegume,ambientrain_water_nutrients,57.89
69,b,sm,nonlegume,ambientrain_water_nutrients,10.29
70,a,sm,nonlegume,ambientrain_water_nutrients,4.41
70,b,sm,nonlegume,ambientrain_water_nutrients,3.23
71,a,sm,nonlegume,ambientrain_water_nutrients,7.46
71,b,sm,nonlegume,ambientrain_water_nutrients,0
72,b,sm,nonlegume,ambientrain_water_nutrients,20.69
72,c,sm,nonlegume,ambientrain_water_nutrients,6.78
73,a,sm,nonlegume,ambientrain_water,4.48
73,b,sm,nonlegume,ambientrain_water,2.08
74,a,sm,nonlegume,ambientrain_water,4.29
74,b,sm,nonlegume,ambientrain_water,8.62
75,a,sm,nonlegume,ambientrain_water,83.82
76,a,sm,nonlegume,ambientrain_water,28.17
76,b,sm,nonlegume,ambientrain_water,57.97
77,a,sm,nonlegume,ambientrain_nutrients,20.59
77,b,sm,nonlegume,ambientrain_nutrients,1.61
78,a,sm,nonlegume,ambientrain_nutrients,17.39
