id,family,Nfixer,spcode,treatment
5,legume,fixer,ec,ambientrain
6,legume,fixer,ec,ambientrain
7,legume,fixer,ec,ambientrain
8,legume,fixer,ec,ambientrain
9,legume,fixer,ec,ambientrain_water_nutrients
10,legume,fixer,ec,ambientrain_water_nutrients
11,legume,fixer,ec,ambientrain_water_nutrients
12,legume,fixer,ec,ambientrain_water_nutrients
13,legume,fixer,ec,ambientrain_water
14,legume,fixer,ec,ambientrain_water
15,legume,fixer,ec,ambientrain_water
16,legume,fixer,ec,ambientrain_water
17,legume,fixer,ec,ambientrain_nutrients
18,legume,fixer,ec,ambientrain_nutrients
19,legume,fixer,ec,ambientrain_nutrients
25,legume,nonFixer,hc,ambientrain
26,legume,nonFixer,hc,ambientrain
27,legume,nonFixer,hc,ambientrain
28,legume,nonFixer,hc,ambientrain
29,legume,nonFixer,hc,ambientrain_water_nutrients
30,legume,nonFixer,hc,ambientrain_water_nutrients
31,legume,nonFixer,hc,ambientrain_water_nutrients
32,legume,nonFixer,hc,ambientrain_water_nutrients
33,legume,nonFixer,hc,ambientrain_water
34,legume,nonFixer,hc,ambientrain_water
35,legume,nonFixer,hc,ambientrain_water
36,legume,nonFixer,hc,ambientrain_water
37,legume,nonFixer,hc,ambientrain_nutrients
38,legume,nonFixer,hc,ambientrain_nutrients
39,legume,nonFixer,hc,ambientrain_nutrients
40,legume,nonFixer,hc,ambientrain_nutrients
45,nonlegume,nonFixer,sg,ambientrain
46,nonlegume,nonFixer,sg,ambientrain
47,nonlegume,nonFixer,sg,ambientrain
48,nonlegume,nonFixer,sg,ambientrain
49,nonlegume,nonFixer,sg,ambientrain_water_nutrients
50,nonlegume,nonFixer,sg,ambientrain_water_nutrients
51,nonlegume,nonFixer,sg,ambientrain_water_nutrients
52,nonlegume,nonFixer,sg,ambientrain_water_nutrients
53,nonlegume,nonFixer,sg,ambientrain_water
54,nonlegume,nonFixer,sg,ambientrain_water
55,nonlegume,nonFixer,sg,ambientrain_water
57,nonlegume,nonFixer,sg,ambientrain_nutrients
58,nonlegume,nonFixer,sg,ambientrain_nutrients
59,nonlegume,nonFixer,sg,ambientrain_nutrients
60,nonlegume,nonFixer,sg,ambientrain_nutrients
65,nonlegume,nonFixer,sm,ambientrain
66,nonlegume,nonFixer,sm,ambientrain
67,nonlegume,nonFixer,sm,ambientrain
