id,family,Nfixer,spcode,treatment,la_m2,sla_cm2_g,ldmc_g_g,leafthick_mm,amax_umol_m2_s1,gs_mol_m2_s2,wue_umol_mmol,d13c_perMil,CN,Narea_g_m2,Nmass_g_m2,tissueDensity_g_cm3,total_biomass_g,above_biom_g,below_biom_g,initial_height_cm,rgr,agr
5,legume,fixer,ec,ambientrain,0.00424718,233.36154,0.268041237,0.12,23.42,0.177,12.682,-29.52088396,10.47507739720099,2.0121397638856844,46.955603090000004,0.35709968889189425,3.915,2.254,1.661,17,0.008326423,0.205882353
6,legume,fixer,ec,ambientrain,0.00240549,132.16978,0.326164875,0.18,23.543,0.257,7.296,-29.39493394,10.833039048384402,3.4791359419328285,45.98366328,0.4203347811848938,6.284,3.291,2.993,25,0.006915137,0.235294118
7,legume,fixer,ec,ambientrain,0.00532261,108.18313,0.313176321,0.35,21.427,0.21,8.928,-28.95119752,10.215488143604377,4.4922711474032475,48.59879539,0.2641024397374024,5.798,2.551,3.247,14,0.00972563,0.211764706
8,legume,fixer,ec,ambientrain,0.00197916,232.84235,0.240112994,0.13,23.673,0.193,11.492,-29.91483595,9.234631218642509,2.2755438209897125,52.98429774999999,0.3303654894527431,3.857,1.978,1.879,16,0.007589858,0.170588235
9,legume,fixer,ec,ambientrain_water_nutrients,0.00142568,112.25827,0.391975309,0.16,19.67,0.257,4.574,-30.2786471,12.360473700894808,3.5077509203537964,39.37740419,0.5567518544513469,4.974,2.441,2.533,20.5,0.008297277,0.247058824
10,legume,fixer,ec,ambientrain_water_nutrients,0.00900788,220.78137,0.282157676,0.12,21.95,0.267,5.023,-29.10112818,10.67142516228021,2.111539034374348,46.618848619999994,0.37744730605364635,15.055,6.228,8.827,21,0.011747398,0.423529412
11,legume,fixer,ec,ambientrain_water_nutrients,0.00505577,187.94684,0.267130089,0.12,20.013,0.267,4.562,-29.0963584,9.526016473103144,2.674411946496775,50.264727459999996,0.44338778631943654,8.922,4.543,4.379,24,0.007653971,0.258823529
12,legume,fixer,ec,ambientrain_water_nutrients,0.00525161,93.11365,0.293444329,0.18,22.553,0.29,4.924,-28.80535816,11.921667575623605,4.378251387761087,40.76749782,0.5966424423868634,11.586,5.489,6.097,25.5,0.00996821,0.4
13,legume,fixer,ec,ambientrain_water,0.00193416,117.93659,0.382284382,0.16,20.657,0.34,4.58,-29.4460249,12.74276335039537,3.230834652520991,38.10336068,0.529945795448215,7.506,3.64,3.866,20,0.007077412,0.194117647
14,legume,fixer,ec,ambientrain_water,0.00333823,96.20259,0.392978482,0.18,25.467,0.47,4.502,-31.03808581,13.958219408606524,3.5150634877405094,33.815822440000005,0.5774850298266976,7.529,3.584,3.945,20,0.010051945,0.317647059
15,legume,fixer,ec,ambientrain_water,0.00350512,106.86341,0.362030905,0.16,23.6,0.457,4.346,-30.47394266,11.337952423746065,3.9636846263066596,42.357287369999995,0.58485874631925,7.366,3.394,3.972,23,0.00694352,0.217647059
16,legume,fixer,ec,ambientrain_water,0.00331986,95.39828,0.390572391,0.17,24.313,0.417,4.655,-29.71990504,11.697411996672813,4.344307040718584,41.443940149999996,0.6166099578709878,7.329,2.952,4.377,24.5,0.006617965,0.217647059
17,legume,fixer,ec,ambientrain_nutrients,0.00325307,100.09446,0.372279496,0.16,18.647,0.247,4.408,-28.14545799,19.830157146147933,2.369069327665867,23.71307187,0.6244101821419487,12.39,5.013,7.377,24.5,0.009297776,0.347058824
18,legume,fixer,ec,ambientrain_nutrients,0.00310978,138.21244,0.328467153,0.14,23.04,0.35,4.553,-29.42725173,10.844281510384263,3.2133783002334573,44.41288698,0.5168027670198966,6.218,3.215,3.003,13.5,0.01292485,0.317647059
19,legume,fixer,ec,ambientrain_nutrients,0.00478453,115.84818,0.405299313,0.18,20.405,0.33,5.153,-29.02130117,12.190416351430022,3.4143327376962835,39.55442473,0.4795548411339355,12.876,5.053,7.823,17,0.01326588,0.417647059
25,legume,nonFixer,hc,ambientrain,0.00285499,96.77932,0.515734266,0.22,7.26,0.23,1.665,-29.08371594,49.032700028224625,1.0853211945751122,10.503664939999998,0.46967208960080997,9.932,5.307,4.625,29,0.00348548,0.117647059
26,legume,nonFixer,hc,ambientrain,0.00241721,91.21547,0.539714868,0.2,8.203,0.107,3.221,-28.03085412,45.49488059575964,1.2290303137501501,11.21065798,0.5481526324427205,9.9,5.305,4.595,26,0.004464584,0.141176471
27,legume,nonFixer,hc,ambientrain,0.00248648,100.26129,0.494023904,0.2,5.457,0.06,3.355,-30.82157032,39.83933132211555,1.3036710477140376,13.070774140000003,0.4986969547269938,7.907,4.831,3.076,32,0.003612059,0.135294118
28,legume,nonFixer,hc,ambientrain,0.00313212,101.69221,0.561020036,0.2,5.557,0.07,2.977,-28.00732325,34.7693596449887,1.4578656695401195,14.825357859999999,0.4916797461673809,8.68,4.773,3.907,19,0.005175897,0.123529412
29,legume,nonFixer,hc,ambientrain_water_nutrients,0.0033313,88.83467,0.554733728,0.2,9.64,0.263,2.206,-29.25147951,40.07176238339077,1.425861639975385,12.666594349999999,0.5628433133144976,8.726,4.796,3.93,24,0.003923431,0.111764706
