id,spcode,treatment,number_of_root_nodulation
5,ec,ambientrain,25
6,ec,ambientrain,30
7,ec,ambientrain,7
8,ec,ambientrain,35
9,ec,ambientrain_water_nutrients,11
10,ec,ambientrain_water_nutrients,49
11,ec,ambientrain_water_nutrients,29
12,ec,ambientrain_water_nutrients,57
13,ec,ambientrain_water,48
14,ec,ambientrain_water,17
15,ec,ambientrain_water,55
16,ec,ambientrain_water,27
17,ec,ambientrain_nutrients,29
18,ec,ambientrain_nutrients,30
19,ec,ambientrain_nutrients,22
20,ec,ambientrain_nutrients,26
25,hc,ambientrain,0
26,hc,ambientrain,0
27,hc,ambientrain,0
28,hc,ambientrain,0
29,hc,ambientrain_water_nutrients,0
30,hc,ambientrain_water_nutrients,0
31,hc,ambientrain_water_nutrients,0
32,hc,ambientrain_water_nutrients,0
33,hc,ambientrain_water,0
34,hc,ambientrain_water,0
35,hc,ambientrain_water,0
36,hc,ambientrain_water,0
37,hc,ambientrain_nutrients,0
38,hc,ambientrain_nutrients,0
39,hc,ambientrain_nutrients,0
40,hc,ambientrain_nutrients,0
45,sg,ambientrain,0
46,sg,ambientrain,0
47,sg,ambientrain,0
48,sg,ambientrain,0
49,sg,ambientrain_water_nutrients,0
50,sg,ambientrain_water_nutrients,0
51,sg,ambientrain_water_nutrients,0
52,sg,ambientrain_water_nutrients,0
53,sg,ambientrain_water,0
54,sg,ambientrain_water,0
55,sg,ambientrain_water,0
56,sg,ambientrain_water,0
57,sg,ambientrain_nutrients,0
58,sg,ambientrain_nutrients,0
59,sg,ambientrain_nutrients,0
60,sg,ambientrain_nutrients,0
65,sm,ambientrain,0
66,sm,ambientrain,0
67,sm,ambientrain,0
68,sm,ambientrain,0
69,sm,ambientrain_water_nutrients,0
70,sm,ambientrain_water_nutrients,0
71,sm,ambientrain_water_nutrients,0
72,sm,ambientrain_water_nutrients,0
73,sm,ambientrain_water,0
74,sm,ambientrain_water,0
75,sm,ambientrain_water,0
76,sm,ambientrain_water,0
77,sm,ambientrain_nutrients,0
78,sm,ambientrain_nutrients,0
79,sm,ambientrain_nutrients,0
80,sm,ambientrain_nutrients,0
85,pq,ambientrain,0
86,pq,ambientrain,0
87,pq,ambientrain,0
88,pq,ambientrain,0
89,pq,ambientrain_water_nutrients,0
90,pq,ambientrain_water_nutrients,0
91,pq,ambientrain_water_nutrients,0
92,pq,ambientrain_water_nutrients,0
93,pq,ambientrain_water,0
94,pq,ambientrain_water,0
95,pq,ambientrain_water,0
96,pq,ambientrain_water,0
97,pq,ambientrain_nutrients,0
98,pq,ambientrain_nutrients,0
99,pq,ambientrain_nutrients,0
100,pq,ambientrain_nutrients,0
105,gs,ambientrain,20
106,gs,ambientrain,27
107,gs,ambientrain,62
108,gs,ambientrain,26
109,gs,ambientrain_water_nutrients,26
110,gs,ambientrain_water_nutrients,72
111,gs,ambientrain_water_nutrients,58
112,gs,ambientrain_water_nutrients,62
113,gs,ambientrain_water,16
114,gs,ambientrain_water,29
115,gs,ambientrain_water,18
116,gs,ambientrain_water,18
117,gs,ambientrain_nutrients,42
118,gs,ambientrain_nutrients,69
119,gs,ambientrain_nutrients,41
120,gs,ambientrain_nutrients,50
125,dr,ambientrain,141
126,dr,ambientrain,133
127,dr,ambientrain,113
128,dr,ambientrain,142
129,dr,ambientrain_water_nutrients,165
130,dr,ambientrain_water_nutrients,129
131,dr,ambientrain_water_nutrients,163
132,dr,ambientrain_water_nutrients,167
133,dr,ambientrain_water,104
134,dr,ambientrain_water,114
135,dr,ambientrain_water,112
136,dr,ambientrain_water,106
137,dr,ambientrain_nutrients,104
138,dr,ambientrain_nutrients,94
139,dr,ambientrain_nutrients,116
140,dr,ambientrain_nutrients,103
146,to,ambientrain,0
147,to,ambientrain,0
148,to,ambientrain,0
149,to,ambientrain_water_nutrients,0
150,to,ambientrain_water_nutrients,0
151,to,ambientrain_water_nutrients,0
152,to,ambientrain_water_nutrients,0
153,to,ambientrain_water,0
154,to,ambientrain_water,0
155,to,ambientrain_water,0
156,to,ambientrain_water,0
157,to,ambientrain_nutrients,0
158,to,ambientrain_nutrients,0
159,to,ambientrain_nutrients,0
160,to,ambientrain_nutrients,0
