spcode,Treatment,Heights,sm_before_watering,sm_after_watering,Date
ec,ambient_rain,17,31.5,21.9,31_aug
ec,ambient_rain,25,25.8,25.4,31_aug
ec,ambient_rain,14,26.5,25.8,31_aug
ec,ambient_rain,16,29,22.5,31_aug
ec,ambient_rain+water+nutrients,20.5,30.3,28.8,31_aug
ec,ambient_rain+water+nutrients,21,32.8,28.8,31_aug
ec,ambient_rain+water+nutrients,24,25.8,32.4,31_aug
ec,ambient_rain+water+nutrients,25.5,20.8,28.5,31_aug
ec,ambient_rain+water,20,27.9,31.2,31_aug
ec,ambient_rain+water,20,31.4,33.6,31_aug
ec,ambient_rain+water,23,22.4,25.6,31_aug
ec,ambient_rain+water,24.5,30,29.0,31_aug
ec,ambient_rain+nutrients,24.5,34.7,30.3,31_aug
ec,ambient_rain+nutrients,13.5,28.2,29.0,31_aug
ec,ambient_rain+nutrients,17,34.5,31.4,31_aug
ec,ambient_rain+nutrients,22,29,31.8,31_aug
hc,ambient_rain,29,24.5,11.4,31_aug
hc,ambient_rain,26,26.2,20.0,31_aug
hc,ambient_rain,32,38.6,32.0,31_aug
hc,ambient_rain,19,29.2,26.0,31_aug
hc,ambient_rain+water+nutrients,24,34.6,28.1,31_aug
hc,ambient_rain+water+nutrients,25,36.7,33.8,31_aug
hc,ambient_rain+water+nutrients,38,19.6,25.2,31_aug
hc,ambient_rain+water+nutrients,32,17.2,24.2,31_aug
hc,ambient_rain+water,32,19.6,32.8,31_aug
hc,ambient_rain+water,28,37,20.6,31_aug
hc,ambient_rain+water,26,20,33.4,31_aug
hc,ambient_rain+water,27,27.4,37.2,31_aug
hc,ambient_rain+nutrients,28,37.8,20.2,31_aug
hc,ambient_rain+nutrients,31,24,23.4,31_aug
hc,ambient_rain+nutrients,29,34.4,31.4,31_aug
hc,ambient_rain+nutrients,27,31.7,18.3,31_aug
sg,ambient_rain,9.5,29,22.5,31_aug
sg,ambient_rain,7,43.6,37.4,31_aug
sg,ambient_rain,8.5,39.2,32.6,31_aug
sg,ambient_rain,13,31.8,27.4,31_aug
sg,ambient_rain+water+nutrients,9,30,33.0,31_aug
sg,ambient_rain+water+nutrients,8,30.6,32.8,31_aug
sg,ambient_rain+water+nutrients,10,35.1,28.9,31_aug
sg,ambient_rain+water+nutrients,11.5,29.4,35.6,31_aug
sg,ambient_rain+water,10,36.2,38.2,31_aug
sg,ambient_rain+water,7.5,40.6,35.9,31_aug
sg,ambient_rain+water,11,30.8,33.6,31_aug
sg,ambient_rain+water,10,27.2,37.8,31_aug
sg,ambient_rain+nutrients,11,30.4,14.7,31_aug
sg,ambient_rain+nutrients,6.5,40.6,34.8,31_aug
sg,ambient_rain+nutrients,8.5,31.1,29.4,31_aug
sg,ambient_rain+nutrients,11,33.8,27.9,31_aug
sm,ambient_rain,16,36.8,27.8,31_aug
sm,ambient_rain,20,28.9,27.1,31_aug
sm,ambient_rain,19.5,39.8,32.2,31_aug
sm,ambient_rain,23,39.7,34.2,31_aug
sm,ambient_rain+water+nutrients,16.5,35.6,35.0,31_aug
sm,ambient_rain+water+nutrients,12.5,41.8,38.2,31_aug
sm,ambient_rain+water+nutrients,18,30,35.8,31_aug
sm,ambient_rain+water+nutrients,14,45.4,35.8,31_aug
sm,ambient_rain+water,14,39.8,33.2,31_aug
sm,ambient_rain+water,17,26.1,31.7,31_aug
sm,ambient_rain+water,16,32.8,37.8,31_aug
sm,ambient_rain+water,20.5,19,28.8,31_aug
sm,ambient_rain+nutrients,7,33,29.0,31_aug
sm,ambient_rain+nutrients,19,35.2,31.3,31_aug
sm,ambient_rain+nutrients,15,24.4,27.0,31_aug
sm,ambient_rain+nutrients,15.5,16,13.6,31_aug
pq,ambient_rain,9,30.2,25.8,31_aug
pq,ambient_rain,10,30,23.4,31_aug
pq,ambient_rain,8,37.6,29.5,31_aug
pq,ambient_rain,9.5,32.2,27.9,31_aug
pq,ambient_rain+water+nutrients,8.5,31.9,36.0,31_aug
pq,ambient_rain+water+nutrients,10.5,33,32.6,31_aug
pq,ambient_rain+water+nutrients,12,20.1,30.7,31_aug
pq,ambient_rain+water+nutrients,13,38.6,30.4,31_aug
pq,ambient_rain+water,11.5,31.2,29.3,31_aug
pq,ambient_rain+water,8,35,25.2,31_aug
pq,ambient_rain+water,9.5,34.6,44.4,31_aug
pq,ambient_rain+water,12,31.4,34.0,31_aug
pq,ambient_rain+nutrients,10.5,38,24.0,31_aug
pq,ambient_rain+nutrients,7.5,33.3,33.3,31_aug
pq,ambient_rain+nutrients,7.5,32.8,32.5,31_aug
pq,ambient_rain+nutrients,9,30.5,27.8,31_aug
gs,ambient_rain,12.5,27.6,18.6,31_aug
gs,ambient_rain,13,36.4,24.8,31_aug
gs,ambient_rain,20,35.8,27.7,31_aug
gs,ambient_rain,19,28.4,22.0,31_aug
gs,ambient_rain+water+nutrients,17.5,29,30.0,31_aug
gs,ambient_rain+water+nutrients,17.5,29,29.4,31_aug
gs,ambient_rain+water+nutrients,16.5,28.8,28.0,31_aug
gs,ambient_rain+water+nutrients,14.5,30.9,39.0,31_aug
gs,ambient_rain+water,15.5,38.1,27.8,31_aug
gs,ambient_rain+water,16,40.5,35.0,31_aug
gs,ambient_rain+water,15.5,27.3,28.2,31_aug
gs,ambient_rain+water,10.5,21.6,27.6,31_aug
gs,ambient_rain+nutrients,12.5,20.7,14.6,31_aug
gs,ambient_rain+nutrients,17.5,24.1,13.4,31_aug
gs,ambient_rain+nutrients,13.5,17.1,8.9,31_aug
gs,ambient_rain+nutrients,21,18.3,6.4,31_aug
dt,ambient_rain,9.5,38.6,33.3,31_aug
dt,ambient_rain,11.5,40.2,29.7,31_aug
dt,ambient_rain,11,38.8,35.4,31_aug
dt,ambient_rain,11,39.6,31.4,31_aug
dt,ambient_rain+water+nutrients,11,39.3,39.2,31_aug
dt,ambient_rain+water+nutrients,8.5,41.4,32.4,31_aug
dt,ambient_rain+water+nutrients,10,38,28.6,31_aug
dt,ambient_rain+water+nutrients,12.5,29,32.8,31_aug
dt,ambient_rain+water,10,37.4,22.3,31_aug
dt,ambient_rain+water,7,35.8,33.4,31_aug
dt,ambient_rain+water,9,38.3,28.3,31_aug
dt,ambient_rain+water,9.5,39.7,27.2,31_aug
dt,ambient_rain+nutrients,10.5,42.2,29.8,31_aug
dt,ambient_rain+nutrients,8.5,42.4,29.0,31_aug
dt,ambient_rain+nutrients,11,34.2,28.9,31_aug
dt,ambient_rain+nutrients,9.5,31.1,28.2,31_aug
to,ambient_rain,5,35.8,28.8,31_aug
to,ambient_rain,6,42.1,25.1,31_aug
to,ambient_rain,5,35.2,24.2,31_aug
to,ambient_rain,3,38.8,35.4,31_aug
to,ambient_rain+water+nutrients,5,30.8,23.0,31_aug
to,ambient_rain+water+nutrients,6,39.6,30.0,31_aug
to,ambient_rain+water+nutrients,4.5,33.4,24.5,31_aug
to,ambient_rain+water+nutrients,6,34.6,31.0,31_aug
to,ambient_rain+water,7.5,42,32.1,31_aug
to,ambient_rain+water,6,36.3,25.0,31_aug
to,ambient_rain+water,6,31.1,33.5,31_aug
to,ambient_rain+water,4.5,30.4,26.7,31_aug
to,ambient_rain+nutrients,4.5,35.4,31.2,31_aug
to,ambient_rain+nutrients,5,30.2,26.4,31_aug
to,ambient_rain+nutrients,4.5,30.2,30.8,31_aug
to,ambient_rain+nutrients,5,32,18.2,31_aug
ec,ambient_rain,22.5,27.4,24.2,19_sep
ec,ambient_rain,28,24.6,24.1,19_sep
ec,ambient_rain,17.5,19.6,20.4,19_sep
ec,ambient_rain,19.5,23.4,21.1,19_sep
ec,ambient_rain+water+nutrients,22.5,29,44,19_sep
ec,ambient_rain+water+nutrients,25.5,24.8,41.9,19_sep
ec,ambient_rain+water+nutrients,26,25.2,37.6,19_sep
ec,ambient_rain+water+nutrients,30.5,17.6,28.6,19_sep
ec,ambient_rain+water,22.5,28,46.9,19_sep
ec,ambient_rain+water,26,25.4,37.1,19_sep
ec,ambient_rain+water,28,28.8,51,19_sep
ec,ambient_rain+water,27.5,26.7,37.8,19_sep
ec,ambient_rain+nutrients,31,8.5,11.5,19_sep
ec,ambient_rain+nutrients,16,31.6,32.7,19_sep
ec,ambient_rain+nutrients,23.5,22.8,23.9,19_sep
ec,ambient_rain+nutrients,28,24.6,26.7,19_sep
hc,ambient_rain,34.5,12.3,11.9,19_sep
hc,ambient_rain,31,7.9,8.6,19_sep
hc,ambient_rain,39,20.8,21.4,19_sep
hc,ambient_rain,25,9.6,9.6,19_sep
hc,ambient_rain+water+nutrients,25,21.4,41.9,19_sep
hc,ambient_rain+water+nutrients,27.5,22,44.2,19_sep
hc,ambient_rain+water+nutrients,41,5.5,24.2,19_sep
hc,ambient_rain+water+nutrients,36,10.2,23.9,19_sep
hc,ambient_rain+water,41,12.8,29,19_sep
hc,ambient_rain+water,28,17,34.2,19_sep
hc,ambient_rain+water,34,7.8,26.2,19_sep
hc,ambient_rain+water,32,21,36.4,19_sep
hc,ambient_rain+nutrients,37,26.2,26.6,19_sep
hc,ambient_rain+nutrients,39,14.1,15.2,19_sep
hc,ambient_rain+nutrients,35,19.6,21.4,19_sep
hc,ambient_rain+nutrients,31,13.8,18.1,19_sep
sg,ambient_rain,10.5,19.6,25.4,19_sep
sg,ambient_rain,7.5,29.1,28,19_sep
sg,ambient_rain,9.5,36.4,34.6,19_sep
sg,ambient_rain,13,27.7,20.6,19_sep
sg,ambient_rain+water+nutrients,10,25.4,35,19_sep
sg,ambient_rain+water+nutrients,9.5,33.2,46,19_sep
sg,ambient_rain+water+nutrients,10.5,33.3,43.8,19_sep
sg,ambient_rain+water+nutrients,12,31.6,46.8,19_sep
sg,ambient_rain+water,11.5,36.8,44.5,19_sep
sg,ambient_rain+water,9,29.2,44.1,19_sep
sg,ambient_rain+water,11,29,41.3,19_sep
sg,ambient_rain+water,10.5,33.6,44,19_sep
sg,ambient_rain+nutrients,12.5,27.2,26.9,19_sep
sg,ambient_rain+nutrients,8,31.4,36,19_sep
sg,ambient_rain+nutrients,10,29,30.2,19_sep
sg,ambient_rain+nutrients,11,31.8,31.1,19_sep
sm,ambient_rain,16,14.2,12.2,19_sep
sm,ambient_rain,20,23.4,26.7,19_sep
sm,ambient_rain,20.5,12.6,13.4,19_sep
sm,ambient_rain,24,12.2,10.8,19_sep
sm,ambient_rain+water+nutrients,17,11.6,32.6,19_sep
sm,ambient_rain+water+nutrients,13.5,31.1,48,19_sep
sm,ambient_rain+water+nutrients,19,10.8,35.5,19_sep
sm,ambient_rain+water+nutrients,16.5,15.2,37,19_sep
sm,ambient_rain+water,15.5,10.7,34.2,19_sep
sm,ambient_rain+water,18,8.6,30.2,19_sep
sm,ambient_rain+water,18.5,7.3,27.8,19_sep
sm,ambient_rain+water,21,6.7,26.4,19_sep
sm,ambient_rain+nutrients,8,26.2,28.8,19_sep
sm,ambient_rain+nutrients,20,16.2,18.8,19_sep
sm,ambient_rain+nutrients,16,15.4,21.8,19_sep
sm,ambient_rain+nutrients,15.5,8.4,13.2,19_sep
pq,ambient_rain,9.5,28.6,28,19_sep
pq,ambient_rain,11.5,26.6,25,19_sep
pq,ambient_rain,9,23.8,24.4,19_sep
pq,ambient_rain,9.5,24.4,25.6,19_sep
pq,ambient_rain+water+nutrients,11.5,20.7,34.2,19_sep
pq,ambient_rain+water+nutrients,12.5,22,33.2,19_sep
pq,ambient_rain+water+nutrients,13.5,18.6,32.6,19_sep
pq,ambient_rain+water+nutrients,16.5,29.4,44.1,19_sep
pq,ambient_rain+water,12.5,25.8,38,19_sep
pq,ambient_rain+water,9.5,23.6,37.4,19_sep
pq,ambient_rain+water,9.5,31.2,40.6,19_sep
pq,ambient_rain+water,12,34,47.2,19_sep
pq,ambient_rain+nutrients,11.5,35,35,19_sep
pq,ambient_rain+nutrients,7.5,27.4,26,19_sep
pq,ambient_rain+nutrients,8,28,30.2,19_sep
pq,ambient_rain+nutrients,12,28.4,28.5,19_sep
gs,ambient_rain,14.5,7.5,6.6,19_sep
gs,ambient_rain,13.5,24.1,22.2,19_sep
gs,ambient_rain,22,7,6.5,19_sep
gs,ambient_rain,19,7.6,6.8,19_sep
gs,ambient_rain+water+nutrients,22,7.4,29.9,19_sep
gs,ambient_rain+water+nutrients,21,6.5,30.1,19_sep
gs,ambient_rain+water+nutrients,19,4.8,29.6,19_sep
gs,ambient_rain+water+nutrients,18,5.4,30.6,19_sep
gs,ambient_rain+water,19.5,7.6,28.8,19_sep
gs,ambient_rain+water,17.5,15.2,35.7,19_sep
gs,ambient_rain+water,18,5,31.4,19_sep
gs,ambient_rain+water,12,5,26.6,19_sep
gs,ambient_rain+nutrients,15,5.2,11.9,19_sep
gs,ambient_rain+nutrients,21,7,9,19_sep
gs,ambient_rain+nutrients,16,5.9,10.2,19_sep
gs,ambient_rain+nutrients,23,6.2,12,19_sep
dt,ambient_rain,11.5,33.7,35.5,19_sep
dt,ambient_rain,16.5,15.8,14.2,19_sep
dt,ambient_rain,19,21.6,18.7,19_sep
dt,ambient_rain,15,37,36.2,19_sep
dt,ambient_rain+water+nutrients,18.5,26.6,39.6,19_sep
dt,ambient_rain+water+nutrients,16,27.5,44.4,19_sep
dt,ambient_rain+water+nutrients,21,22.8,46.6,19_sep
dt,ambient_rain+water+nutrients,19.5,24.4,41,19_sep
dt,ambient_rain+water,15,26,44.8,19_sep
dt,ambient_rain+water,12,19.3,29.9,19_sep
dt,ambient_rain+water,16.5,25,34.1,19_sep
dt,ambient_rain+water,14,29.2,45.5,19_sep
dt,ambient_rain+nutrients,26.5,23.4,23.6,19_sep
dt,ambient_rain+nutrients,17.5,21,23.5,19_sep
dt,ambient_rain+nutrients,19.5,19.8,22.6,19_sep
dt,ambient_rain+nutrients,20,21.2,22.2,19_sep
to,ambient_rain,7.5,33.8,33.2,19_sep
to,ambient_rain,7,29,29.6,19_sep
to,ambient_rain,6.5,28.4,31,19_sep
to,ambient_rain,5,35.3,33.8,19_sep
to,ambient_rain+water+nutrients,8,24.8,37.9,19_sep
to,ambient_rain+water+nutrients,7.5,32.2,44,19_sep
to,ambient_rain+water+nutrients,6.5,29.3,40.6,19_sep
to,ambient_rain+water+nutrients,7.5,29.8,37.2,19_sep
to,ambient_rain+water,9,32.2,42,19_sep
to,ambient_rain+water,7,36.1,45.4,19_sep
to,ambient_rain+water,6.5,31.4,45,19_sep
